suhkth@muhummed ~/D/I/A/Task8 (main)> ./hw3_q8_page_reclamation 64 20
Page_Id, Total_Referenced
0, 13
1, 15
2, 21
3, 11
4, 10
5, 10
6, 20
7, 20
8, 19
9, 11
10, 16
11, 11
12, 15
13, 18
14, 10
15, 17
16, 13
17, 22
18, 16
19, 19
20, 10
21, 15
22, 26
23, 14
24, 14
25, 17
26, 15
27, 12
28, 19
29, 12
30, 16
31, 14
32, 19
33, 28
34, 8
35, 16
36, 12
37, 14
38, 19
39, 18
40, 14
41, 22
42, 15
43, 23
44, 17
45, 16
46, 12
47, 16
48, 24
49, 14
50, 17
51, 15
52, 13
53, 9
54, 9
55, 13
56, 16
57, 17
58, 15
59, 12
60, 16
61, 17
62, 11
63, 20

Pages in active list: 57 16 55 10 13 52 48 31 58 60 27 15 41 40 25 19 1 26 42 14 59 33 46 63 50 37 9 51 61 45 35 29 39 32 12 2 47 53 43 8 
Pages in inactive list: 4 23 38 20 34 5 30 44 49 7 36 6 56 11 54 3 21 17 62 22 18 24 0 28 
suhkth@muhummed ~/D/I/A/Task8 (main)> ./hw3_q8_page_reclamation 64 200
Page_Id, Total_Referenced
0, 23
1, 12
2, 12
3, 13
4, 16
5, 18
6, 15
7, 14
8, 10
9, 16
10, 15
11, 17
12, 9
13, 16
14, 10
15, 16
16, 19
17, 18
18, 24
19, 13
20, 17
21, 14
22, 24
23, 12
24, 7
25, 19
26, 18
27, 9
28, 19
29, 11
30, 10
31, 9
32, 13
33, 12
34, 16
35, 15
36, 9
37, 18
38, 16
39, 22
40, 20
41, 11
42, 19
43, 15
44, 19
45, 20
46, 18
47, 14
48, 13
49, 20
50, 15
51, 9
52, 16
53, 13
54, 13
55, 11
56, 14
57, 15
58, 13
59, 15
60, 23
61, 19
62, 15
63, 18

Pages in active list: 4 10 38 47 40 61 41 42 1 58 19 27 15 29 45 28 46 49 23 24 54 8 56 39 48 53 0 31 20 25 6 11 16 21 30 43 37 59 
Pages in inactive list: 3 32 12 14 60 44 5 26 2 62 22 36 63 50 7 51 9 17 52 13 35 34 55 57 33 18 
suhkth@muhummed ~/D/I/A/Task8 (main)> ./hw3_q8_page_reclamation 64 2000
Page_Id, Total_Referenced
0, 14
1, 14
2, 11
3, 12
4, 13
5, 11
6, 9
7, 11
8, 11
9, 11
10, 12
11, 10
12, 10
13, 14
14, 15
15, 14
16, 14
17, 15
18, 14
19, 11
20, 14
21, 12
22, 13
23, 10
24, 16
25, 10
26, 12
27, 13
28, 16
29, 17
30, 14
31, 13
32, 14
33, 14
34, 12
35, 4
36, 16
37, 12
38, 10
39, 11
40, 13
41, 13
42, 12
43, 13
44, 13
45, 12
46, 10
47, 15
48, 18
49, 12
50, 18
51, 11
52, 14
53, 11
54, 10
55, 15
56, 10
57, 12
58, 12
59, 15
60, 16
61, 10
62, 7
63, 10

Pages in active list: 17 36 63 30 22 29 39 18 24 0 8 44 42 60 57 9 32 1 28 53 61 58 14 51 34 48 23 15 47 5 55 11 45 
Pages in inactive list: 6 35 7 19 26 54 10 38 62 25 4 3 40 50 16 41 21 56 59 33 31 27 43 37 13 46 20 12 2 52 49 
